iter	Passed	Remaining
0	16	16646
1	31	15767
2	43	14560
3	56	14072
4	71	14190
5	84	14015
6	97	13832
7	111	13795
8	123	13615
9	135	13370
10	147	13281
11	162	13345
12	175	13301
13	189	13353
14	204	13397
15	216	13328
16	229	13259
17	243	13281
18	256	13222
19	271	13304
20	286	13334
21	299	13314
22	314	13346
23	328	13351
24	342	13368
25	357	13375
26	370	13349
27	385	13384
28	400	13401
29	413	13377
30	425	13308
31	438	13257
32	450	13192
33	465	13214
34	479	13219
35	492	13182
36	504	13140
37	518	13119
38	529	13057
39	540	12980
40	552	12930
41	564	12879
42	575	12806
43	586	12748
44	598	12697
45	609	12640
46	621	12593
47	632	12554
48	643	12486
49	654	12442
50	666	12398
51	677	12350
52	689	12318
53	700	12267
54	711	12217
55	722	12172
56	732	12123
57	742	12060
58	754	12028
59	765	11996
60	776	11957
61	788	11922
62	799	11891
63	810	11848
64	821	11810
65	831	11764
66	841	11719
67	851	11671
68	863	11645
69	873	11611
70	885	11585
71	896	11549
72	906	11515
73	917	11484
74	928	11457
75	939	11424
76	950	11398
77	962	11374
78	973	11345
79	985	11331
80	996	11309
81	1007	11278
82	1022	11291
83	1035	11296
84	1050	11306
85	1062	11294
86	1075	11291
87	1088	11280
88	1101	11277
89	1114	11270
90	1126	11251
91	1139	11244
92	1149	11211
93	1161	11193
94	1172	11165
95	1183	11142
96	1194	11118
97	1204	11089
98	1216	11070
99	1227	11046
100	1239	11029
101	1250	11005
102	1261	10985
103	1272	10959
104	1283	10937
105	1294	10915
106	1303	10880
107	1315	10861
108	1325	10831
109	1335	10804
110	1346	10782
111	1357	10765
112	1368	10741
113	1379	10719
114	1390	10702
115	1402	10688
116	1413	10664
117	1424	10650
118	1436	10631
119	1447	10612
120	1457	10586
121	1467	10562
122	1474	10514
123	1486	10498
124	1497	10481
125	1509	10472
126	1522	10465
127	1535	10459
128	1547	10451
129	1561	10451
130	1574	10446
131	1586	10429
132	1599	10425
133	1612	10420
134	1623	10403
135	1635	10392
136	1648	10381
137	1660	10373
138	1673	10368
139	1687	10363
140	1699	10353
141	1712	10344
142	1724	10336
143	1736	10324
144	1749	10318
145	1761	10305
146	1773	10292
147	1784	10274
148	1798	10269
149	1809	10256
150	1822	10247
151	1833	10229
152	1845	10214
153	1857	10204
154	1869	10190
155	1880	10174
156	1891	10154
157	1901	10134
158	1911	10113
159	1922	10094
160	1933	10076
161	1944	10056
162	1954	10038
163	1965	10019
164	1976	10001
165	1987	9984
166	1997	9965
167	2009	9949
168	2020	9933
169	2030	9913
170	2043	9906
171	2056	9899
172	2068	9888
173	2081	9879
174	2093	9867
175	2106	9861
176	2120	9859
177	2132	9849
178	2146	9847
179	2159	9839
180	2172	9828
181	2183	9813
182	2195	9800
183	2205	9782
184	2217	9770
185	2230	9762
186	2243	9755
187	2256	9748
188	2270	9741
189	2282	9732
190	2293	9716
191	2305	9703
192	2319	9697
193	2331	9687
194	2345	9681
195	2358	9673
196	2373	9675
197	2387	9669
198	2402	9670
199	2416	9665
200	2430	9661
201	2445	9660
202	2459	9656
203	2473	9652
204	2488	9648
205	2501	9641
206	2514	9631
207	2527	9623
208	2540	9614
209	2553	9604
210	2566	9595
211	2580	9590
212	2594	9586
213	2606	9573
214	2619	9563
215	2631	9551
216	2643	9540
217	2656	9529
218	2667	9512
219	2677	9494
220	2688	9477
221	2699	9461
222	2710	9443
223	2721	9428
224	2732	9410
225	2743	9394
226	2754	9378
227	2764	9359
228	2774	9341
229	2785	9325
230	2796	9309
231	2806	9291
232	2817	9276
233	2828	9258
234	2839	9243
235	2851	9231
236	2861	9211
237	2872	9197
238	2883	9181
239	2894	9164
240	2905	9151
241	2916	9133
242	2926	9117
243	2937	9101
244	2948	9085
245	2958	9067
246	2970	9055
247	2983	9048
248	2999	9045
249	3011	9033
250	3022	9018
251	3033	9004
252	3044	8989
253	3056	8976
254	3067	8962
255	3079	8949
256	3089	8933
257	3101	8920
258	3113	8907
259	3124	8893
260	3137	8882
261	3149	8871
262	3160	8857
263	3173	8848
264	3186	8837
265	3198	8826
266	3212	8819
267	3227	8814
268	3239	8802
269	3250	8789
270	3262	8776
271	3274	8764
272	3285	8749
273	3298	8739
274	3310	8727
275	3322	8714
276	3333	8701
277	3346	8691
278	3359	8682
279	3373	8675
280	3386	8664
281	3399	8656
282	3413	8648
283	3427	8642
284	3439	8630
285	3453	8621
286	3465	8610
287	3479	8601
288	3492	8593
289	3504	8580
290	3517	8570
291	3529	8558
292	3542	8548
293	3553	8534
294	3567	8524
295	3580	8514
296	3593	8506
297	3606	8496
298	3618	8484
299	3630	8471
300	3642	8458
